"Date","BA_current","BA_prev"
2019-10-24,344.549988,340.5
2019-10-25,339.829987,344.549988
2019-10-28,340.880005,339.829987
2019-10-29,348.929993,340.880005
2019-10-30,346.059998,348.929993
2019-10-31,339.910004,346.059998
2019-11-01,345.190002,339.910004
2019-11-04,351.089996,345.190002
2019-11-05,358.290009,351.089996
2019-11-06,354.190002,358.290009
2019-11-07,357.309998,354.190002
2019-11-08,351,357.309998
2019-11-11,366.959991,351
2019-11-12,362.880005,366.959991
2019-11-13,362.5,362.880005
2019-11-14,367.440002,362.5
2019-11-15,371.679993,367.440002
2019-11-18,369.459991,371.679993
2019-11-19,367,369.459991
2019-11-20,370.910004,367
2019-11-21,366.440002,370.910004
2019-11-22,371.339996,366.440002
2019-11-25,373.130005,371.339996
2019-11-26,373.51001,373.130005
2019-11-27,368,373.51001
2019-11-29,366.179993,368
2019-12-02,355.179993,366.179993
2019-12-03,352.079987,355.179993
2019-12-04,348.839996,352.079987
2019-12-05,345.679993,348.839996
2019-12-06,354.089996,345.679993
2019-12-09,351.209991,354.089996
2019-12-10,347.899994,351.209991
2019-12-11,350,347.899994
2019-12-12,346.290009,350
2019-12-13,341.670013,346.290009
2019-12-16,327,341.670013
2019-12-17,327,327
2019-12-18,330.679993,327
2019-12-19,333.5,330.679993
2019-12-20,328,333.5
2019-12-23,337.549988,328
2019-12-24,333,337.549988
2019-12-26,329.920013,333
2019-12-27,330.140015,329.920013
2019-12-30,326.399994,330.140015
2019-12-31,325.76001,326.399994
2020-01-02,333.320007,325.76001
2020-01-03,332.76001,333.320007
2020-01-06,333.73999,332.76001
2020-01-07,337.279999,333.73999
2020-01-08,331.369995,337.279999
2020-01-09,336.339996,331.369995
2020-01-10,329.920013,336.339996
2020-01-13,330.220001,329.920013
2020-01-14,332.350006,330.220001
2020-01-15,329.799988,332.350006
2020-01-16,332,329.799988
2020-01-17,324.149994,332
2020-01-21,313.369995,324.149994
2020-01-22,309,313.369995
2020-01-23,317.790009,309
2020-01-24,323.049988,317.790009
2020-01-27,316.600006,323.049988
2020-01-28,316.559998,316.600006
2020-01-29,322.019989,316.559998
2020-01-30,323.299988,322.019989
2020-01-31,318.269989,323.299988
2020-02-03,316,318.269989
2020-02-04,317.940002,316
2020-02-05,329.549988,317.940002
2020-02-06,341.429993,329.549988
2020-02-07,336.75,341.429993
2020-02-10,344.670013,336.75
2020-02-11,344.420013,344.670013
2020-02-12,347.450012,344.420013
2020-02-13,342.820007,347.450012
2020-02-14,340.48999,342.820007
2020-02-18,338.880005,340.48999
2020-02-19,338.299988,338.880005
2020-02-20,336.279999,338.299988
2020-02-21,330.380005,336.279999
2020-02-24,317.899994,330.380005
2020-02-25,304.140015,317.899994
2020-02-26,311.795013,304.140015
